         1462369 function calls (1438706 primitive calls) in 1.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.003    0.000    2.184    0.023 __init__.py:1(<module>)
    774/1    0.010    0.000    1.479    1.479 {built-in method builtins.exec}
        1    0.000    0.000    1.479    1.479 main.py:1(<module>)
    835/8    0.007    0.000    1.474    0.184 <frozen importlib._bootstrap>:1349(_find_and_load)
    831/8    0.004    0.000    1.473    0.184 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    807/8    0.003    0.000    1.467    0.183 <frozen importlib._bootstrap>:911(_load_unlocked)
    704/8    0.002    0.000    1.467    0.183 <frozen importlib._bootstrap_external>:993(exec_module)
  1889/16    0.002    0.000    1.457    0.091 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    1.330    1.330 dashboard.py:1(<module>)
   496/62    0.001    0.000    0.994    0.016 {built-in method builtins.__import__}
  942/431    0.002    0.000    0.886    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.478    0.478 pyplot.py:1(<module>)
2069/1972    0.029    0.000    0.424    0.000 {built-in method builtins.__build_class__}
      704    0.007    0.000    0.418    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
        8    0.000    0.000    0.322    0.040 api.py:1(<module>)
      106    0.003    0.000    0.261    0.002 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.257    0.002 artist.py:125(__init_subclass__)
      704    0.003    0.000    0.239    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.219    0.219 figure.py:1(<module>)
      823    0.007    0.000    0.214    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      120    0.001    0.000    0.205    0.002 artist.py:1832(kwdoc)
        3    0.000    0.000    0.202    0.067 generic.py:1(<module>)
      801    0.003    0.000    0.199    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
      800    0.001    0.000    0.199    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        1    0.000    0.000    0.196    0.196 colorbar.py:1(<module>)
      704    0.188    0.000    0.188    0.000 {built-in method _io.open_code}
     1478    0.012    0.000    0.187    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
      120    0.005    0.000    0.175    0.001 artist.py:1593(pprint_setters)
     3344    0.002    0.000    0.148    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     3355    0.146    0.000    0.146    0.000 {built-in method nt.stat}
     4409    0.012    0.000    0.143    0.000 artist.py:1461(get_valid_values)
        1    0.000    0.000    0.123    0.123 contour.py:1(<module>)
      704    0.021    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.117    0.117 backend_bases.py:1(<module>)
        1    0.000    0.000    0.115    0.115 cbook.py:1(<module>)
     7559    0.061    0.000    0.110    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.106    0.106 frame.py:1(<module>)
      704    0.098    0.000    0.098    0.000 {built-in method marshal.loads}
     7512    0.005    0.000    0.096    0.000 inspect.py:863(getdoc)
        1    0.000    0.000    0.094    0.094 text.py:1(<module>)
        1    0.000    0.000    0.092    0.092 rcsetup.py:1(<module>)
  809/803    0.002    0.000    0.081    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     7854    0.007    0.000    0.076    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.070    0.070 _axes.py:1(<module>)
      227    0.001    0.000    0.069    0.000 artist.py:1413(__init__)
      227    0.022    0.000    0.067    0.000 artist.py:1433(get_aliases)
        1    0.000    0.000    0.064    0.064 collections.py:1(<module>)
      287    0.001    0.000    0.063    0.000 _compiler.py:745(compile)
        1    0.000    0.000    0.058    0.058 rcmod.py:1(<module>)
        1    0.000    0.000    0.057    0.057 palettes.py:1(<module>)
     7202    0.037    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       80    0.000    0.000    0.056    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
       80    0.049    0.001    0.055    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.055    0.055 focus_console.py:1(<module>)
     1074    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.054    0.018 _base.py:1(<module>)
      984    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.052    0.052 notification_manager.py:1(<module>)
        5    0.000    0.000    0.051    0.010 utils.py:1(<module>)
        1    0.000    0.000    0.049    0.049 config_manager.py:1(<module>)
        1    0.000    0.000    0.049    0.049 axes3d.py:1(<module>)
    80/54    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
        2    0.000    0.000    0.047    0.024 array.py:1(<module>)
    80/54    0.015    0.000    0.047    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.047    0.047 patches.py:1(<module>)
        1    0.000    0.000    0.046    0.046 __config__.py:1(<module>)
      227    0.014    0.000    0.043    0.000 artist.py:1511(get_setters)
        1    0.000    0.000    0.043    0.043 _fontconfig_pattern.py:1(<module>)
      149    0.000    0.000    0.043    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.040    0.040 colors.py:1(<module>)
        3    0.001    0.000    0.040    0.013 core.py:1(<module>)
      704    0.039    0.000    0.039    0.000 {method 'read' of '_io.BufferedReader' objects}
     5929    0.003    0.000    0.039    0.000 __init__.py:174(search)
        9    0.000    0.000    0.037    0.004 _base.py:783(__init_subclass__)
       31    0.005    0.000    0.036    0.001 __init__.py:884(_rc_params_in_file)
        1    0.000    0.000    0.036    0.036 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.035    0.035 _index_tricks_impl.py:1(<module>)
      287    0.001    0.000    0.034    0.000 _parser.py:969(parse)
      704    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
  701/287    0.002    0.000    0.033    0.000 _parser.py:452(_parse_sub)
  861/318    0.012    0.000    0.032    0.000 _parser.py:512(_parse)
        2    0.000    0.000    0.031    0.016 indexing.py:1(<module>)
  128/117    0.001    0.000    0.031    0.000 _docstring.py:122(__call__)
        1    0.000    0.000    0.029    0.029 platform.py:980(system)
        1    0.000    0.000    0.029    0.029 platform.py:891(uname)
        2    0.000    0.000    0.029    0.014 platform.py:322(_wmi_query)
        2    0.029    0.014    0.029    0.014 {built-in method _wmi.exec_query}
        1    0.000    0.000    0.028    0.028 loader.py:1(<module>)
      751    0.001    0.000    0.028    0.000 inspect.py:3346(signature)
        1    0.000    0.000    0.028    0.028 defmatrix.py:1(<module>)
        1    0.000    0.000    0.028    0.028 request.py:1(<module>)
      751    0.001    0.000    0.028    0.000 inspect.py:3081(from_callable)
  893/751    0.004    0.000    0.027    0.000 inspect.py:2501(_signature_from_callable)
      287    0.001    0.000    0.027    0.000 _compiler.py:578(_code)
       14    0.000    0.000    0.026    0.002 _docstring.py:73(__missing__)
      547    0.003    0.000    0.026    0.000 textwrap.py:419(dedent)
     1408    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.025    0.025 _linalg.py:1(<module>)
        1    0.000    0.000    0.024    0.024 art3d.py:1(<module>)
     1025    0.001    0.000    0.024    0.000 __init__.py:748(__setitem__)
        1    0.000    0.000    0.023    0.023 _axes.py:67(Axes)
  588/463    0.001    0.000    0.023    0.000 typing.py:392(inner)
      809    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1572    0.006    0.000    0.022    0.000 <frozen importlib._bootstrap>:304(acquire)
   139671    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.021    0.021 platform.py:447(win32_ver)
        1    0.000    0.000    0.021    0.021 platform.py:385(_win32_ver)
        1    0.000    0.000    0.020    0.020 client.py:1(<module>)
        2    0.000    0.000    0.020    0.010 cm.py:1(<module>)
        2    0.000    0.000    0.020    0.010 dates.py:1(<module>)
        2    0.000    0.000    0.020    0.010 core.py:198(read_style_directory)
      831    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.020    0.020 relational.py:1(<module>)
      718    0.006    0.000    0.019    0.000 inspect.py:2397(_signature_from_function)
200572/198787    0.018    0.000    0.019    0.000 {built-in method builtins.len}
 1652/287    0.006    0.000    0.018    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.018    0.018 config.py:1(<module>)
      457    0.018    0.000    0.018    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.018    0.018 font_manager.py:1(<module>)
        2    0.000    0.000    0.017    0.009 __init__.py:720(__getattr__)
     1486    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.017    0.017 geo.py:1(<module>)
        7    0.000    0.000    0.017    0.002 common.py:1(<module>)
     7273    0.010    0.000    0.017    0.000 inspect.py:2743(__init__)
    10266    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
      782    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
    91741    0.013    0.000    0.016    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.016    0.005 categorical.py:1(<module>)
        2    0.000    0.000    0.016    0.008 _typing.py:1(<module>)
        8    0.001    0.000    0.016    0.002 base.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pathlib.py:1(<module>)
        1    0.000    0.000    0.016    0.016 Image.py:1(<module>)
        1    0.000    0.000    0.016    0.016 appdirs.py:1(<module>)
        1    0.000    0.000    0.016    0.016 offsetbox.py:1(<module>)
    79873    0.014    0.000    0.015    0.000 {built-in method builtins.getattr}
      200    0.000    0.000    0.015    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.014    0.014 textpath.py:1(<module>)
        1    0.000    0.000    0.014    0.014 series.py:1(<module>)
      741    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.013    0.013 polar.py:1(<module>)
      456    0.001    0.000    0.013    0.000 artist.py:1530(number_of_parameters)
        1    0.000    0.000    0.013    0.013 axis.py:1(<module>)
        1    0.000    0.000    0.013    0.013 lines.py:1(<module>)
        3    0.000    0.000    0.013    0.004 datetimes.py:1(<module>)
21260/21232    0.006    0.000    0.013    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.013    0.013 describe.py:1(<module>)
      270    0.001    0.000    0.013    0.000 _decorators.py:363(decorator)
        1    0.000    0.000    0.013    0.013 _json.py:1(<module>)
